CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)
PEX10	PEX10	PEX10	PEX10	PEX10	0.757984566	86.30203
PANK4	PANK4	PANK4	PANK4	PANK4	-1.399718661	4.535871333
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2	-0.022406856	48.75609903
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	0.70674532	85.10330703
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L	-0.286382847	31.95590627
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73	-0.093948537	43.78049515
TP73	TP73	TP73	TP73	TP73	-1.476420359	4.072043853
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27	1.467525132	96.08457322
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47	-0.413690036	25.50448768
DFFB	DFFB	DFFB	DFFB	DFFB	0.156757745	61.23727486
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174	0.941695767	90.00662611
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1	0.48259553	77.51942654
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2	-0.472265029	22.86006867
CHD5	CHD5	CHD5	CHD5	CHD5	-2.785580439	0.825251491
RPL22	RPL22	RPL22	RPL22	RPL22	0.029773849	52.47876634
RNF207	RNF207	RNF207	RNF207	RNF207	1.39534688	95.5062948
ICMT	ICMT	ICMT	ICMT	ICMT	0.086160928	56.35805072
GPR153	GPR153	GPR153	GPR153	GPR153	0.250007175	66.42370942
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7	-0.969788141	9.457261611
ESPN	ESPN	ESPN	ESPN	ESPN	-0.060833893	46.11168002
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	-0.048645144	46.82850431
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	0.901392735	89.25365942
NOL9	NOL9	NOL9	NOL9	NOL9	-0.241400552	34.61237275
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1	1.331930027	95.00632492
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48	-1.683435972	2.975724354
PHF13	PHF13	PHF13	PHF13	PHF13	-0.52271897	20.80597554
THAP3	THAP3	THAP3	THAP3	THAP3	0.46760378	76.88693452
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11	-0.768901508	13.55942413
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3	-0.156890075	39.47352569
PER3	PER3	PER3	PER3	PER3	0.289371139	68.66453828
UTS2	UTS2	UTS2	UTS2	UTS2	0.795020581	87.16342389
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	0.331394072	70.79091621
PARK7	PARK7	PARK7	PARK7	PARK7	0.130520552	59.56870068
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1	-0.623628092	17.54111198
RERE	RERE	RERE	RERE	RERE	-2.692017503	0.885488826
ENO1	ENO1	ENO1	ENO1	ENO1	-0.59879134	18.45069574
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7	0.899350482	89.22956448
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5	0.517894048	79.00728872
GPR157	GPR157	GPR157	GPR157	GPR157	0.272659895	67.68869345
H6PD	H6PD	H6PD	H6PD	H6PD	2.030365183	98.30130715
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1	-0.666428769	16.35443648
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33	0.026645178	52.22576953
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD	-1.792662593	2.548039275
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1	-1.521163557	3.806999578
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	0.103500998	57.58086862
LZIC	LZIC	LZIC	LZIC	LZIC	0.02446117	52.07517619
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1	-0.159234776	39.29883742
RBP7	RBP7	RBP7	RBP7	RBP7	0.280322155	68.10433106
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B	-1.147752388	7.005602072
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B	-2.703038252	0.873441359
PGD	PGD	PGD	PGD	PGD	-0.842631907	11.90892115
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	-0.310437986	30.79934944
APITD1	APITD1	APITD1	APITD1	APITD1	0.041018741	53.26787543
CORT	CORT	CORT	CORT	CORT	-0.066605292	45.75627974
DFFA	DFFA	DFFA	DFFA	DFFA	0.186124399	62.97813385
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1	-0.622956691	17.55315945
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP	-0.413532501	25.52255888
MASP2	MASP2	MASP2	MASP2	MASP2	1.116021647	92.59080778
SRM	SRM	SRM	SRM	SRM	-0.273574099	32.70887296
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10	0.008199729	50.91861936
MTOR	MTOR	MTOR	MTOR	MTOR	-5.063294418	0.090356003
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	0.102555163	57.47846515
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1	-0.436181884	24.49250045
FBXO2	FBXO2	FBXO2	FBXO2	FBXO2	0.007121518	50.85838203
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44	0.726434352	85.59122944
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6	0.317801809	70.13432926
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2	-0.310437986	30.79934944
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN	0.894983273	89.15125595
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP	0.62490469	82.77814589
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR	0.138474617	60.02048069
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6	-1.73626941	2.782964882
NPPA	NPPA	NPPA	NPPA	NPPA	0.501502967	78.2844407
