chr	start	strand	inchr	inrna	gene	seqReg	exReg	source	PubMed ID
4	805327	-	A	I	CPLX1	I		BRAIN	15342557
4	805955	-	A	I	CPLX1	I		BRAIN	15342557
4	805974	-	A	I	CPLX1	I		BRAIN	15342557
4	806031	-	A	I	CPLX1	I		BRAIN	15342557
4	806111	-	A	I	CPLX1	I		BRAIN	15342557
4	806497	-	A	I	CPLX1	I		BRAIN	15342557
4	806798	-	A	I	CPLX1	I		BRAIN	15342557
4	806833	-	A	I	CPLX1	I		BRAIN	15342557
4	806836	-	A	I	CPLX1	I		BRAIN	15342557
4	806841	-	A	I	CPLX1	I		BRAIN	15342557
4	806861	-	A	I	CPLX1	I		BRAIN	15342557
4	806887	-	A	I	CPLX1	I		BRAIN	15342557
4	806890	-	A	I	CPLX1	I		BRAIN	15342557
4	806905	-	A	I	CPLX1	I		BRAIN	15342557
4	806909	-	A	I	CPLX1	I		BRAIN	15342557
4	806925	-	A	I	CPLX1	I		BRAIN	15342557
4	806929	-	A	I	CPLX1	I		BRAIN	15342557
4	806931	-	A	I	CPLX1	I		BRAIN	15342557
4	806941	-	A	I	CPLX1	I		BRAIN	15342557
4	806945	-	A	I	CPLX1	I		BRAIN	15342557
4	806966	-	A	I	CPLX1	I		BRAIN	15342557
4	806967	-	A	I	CPLX1	I		BRAIN	15342557
4	806970	-	A	I	CPLX1	I		BRAIN	15342557
4	806971	-	A	I	CPLX1	I		BRAIN	15342557
4	806977	-	A	I	CPLX1	I		BRAIN	15342557
4	806990	-	A	I	CPLX1	I		BRAIN	15342557
4	807006	-	A	I	CPLX1	I		BRAIN	15342557
4	807009	-	A	I	CPLX1	I		BRAIN	15342557
4	1000093	+	A	I		O		CEREBELLUM	15342557
4	1000434	+	A	I		O		CEREBELLUM	15342557
4	1000439	+	A	I		O		CEREBELLUM	15342557
4	1000459	+	A	I		O		CEREBELLUM	15342557
4	1000470	+	A	I		O		CEREBELLUM	15342557
4	1000473	+	A	I		O		CEREBELLUM	15342557
4	1000483	+	A	I		O		CEREBELLUM	15342557
4	1000515	+	A	I		O		CEREBELLUM	15342557
4	1000537	+	A	I		O		CEREBELLUM	15342557
4	1000538	+	A	I		O		CEREBELLUM	15342557
4	1000541	+	A	I		O		CEREBELLUM	15342557
4	1000544	+	A	I		O		CEREBELLUM	15342557
